step,location,timezero,date,pred_median,pred_95_lb,pred_80_lb,pred_50_lb,pred_50_ub,pred_80_ub,pred_95_ub,na_value_count
1,Baden-Württemberg,2015-07-05,2015-07-12,0.422060692215834,0.328717316146036,0.341111342895721,0.386521730878876,0.457633546512851,0.508742255900064,0.531572015398213,0
2,Baden-Württemberg,2015-07-05,2015-07-19,0.592025162345042,0.477433003045496,0.493063840029457,0.547544357917794,0.64134355427242,0.710854213141067,0.734745464060048,0
3,Baden-Württemberg,2015-07-05,2015-07-26,0.58486709764025,0.458372565343801,0.479226398456482,0.537775255899137,0.63361347565927,0.717689832845145,0.744639255804791,0
4,Baden-Württemberg,2015-07-05,2015-08-02,0.280309845088695,0.213084897094257,0.226358771433318,0.253622000689908,0.303925677110732,0.345117104954201,0.360216950692143,0
5,Baden-Württemberg,2015-07-05,2015-08-09,0.138167546707682,0.0955742036485454,0.103793031560428,0.12289865616946,0.155550150094927,0.179103701766911,0.187699748049149,0
6,Baden-Württemberg,2015-07-05,2015-08-16,0.210425999860727,0.153771678587593,0.162928591771971,0.190394979908657,0.231129167594405,0.264409951628299,0.274211820145283,0
1,Bavaria,2015-07-05,2015-07-12,0.70952251806774,0.56967905651032,0.587116414474632,0.656661996949018,0.763510072293626,0.847825117279778,0.884241258200703,0
2,Bavaria,2015-07-05,2015-07-19,0.914753820490522,0.742477986416135,0.764341698069849,0.849733706070201,0.988424343831598,1.09747780263479,1.13510908271771,0
3,Bavaria,2015-07-05,2015-07-26,0.895360813386832,0.713755195845878,0.747456538584834,0.830951531943429,0.964447960003964,1.07265227051057,1.12030764990322,0
4,Bavaria,2015-07-05,2015-08-02,0.382907028503447,0.299191214637121,0.312159898289858,0.35309553364883,0.416351597811018,0.471130338259858,0.489284062504163,0
5,Bavaria,2015-07-05,2015-08-09,0.161132162728494,0.116648425629009,0.122072276812591,0.144881167625506,0.181120427055958,0.208289639752048,0.217132091998771,0
6,Bavaria,2015-07-05,2015-08-16,0.210395924369341,0.152204042942826,0.161888713249901,0.188294513281497,0.23363170498074,0.268098027587797,0.276769329511994,0
1,Berlin,2015-07-05,2015-07-12,0.62518144460771,0.498574514129089,0.518056445440641,0.579346656348127,0.67560407122082,0.757211246428154,0.783369231503994,0
2,Berlin,2015-07-05,2015-07-19,0.717001143113296,0.577498610601672,0.602770121319992,0.66790579577908,0.775520824950402,0.872098240639039,0.904070997794918,0
3,Berlin,2015-07-05,2015-07-26,0.960430589133065,0.768714754893782,0.797798681098895,0.887212365154787,1.0268110265055,1.14276036030072,1.18385196278863,0
4,Berlin,2015-07-05,2015-08-02,0.478846661896343,0.38499200024346,0.401779002629038,0.443593506998032,0.520120331278809,0.587710173886283,0.608223791637737,0
5,Berlin,2015-07-05,2015-08-09,0.187432379265463,0.134994408635595,0.141426538938496,0.167666160046576,0.205712790350046,0.237313709565826,0.24666379338806,0
6,Berlin,2015-07-05,2015-08-16,0.239819405091014,0.177972394396059,0.188601459146861,0.21968724979406,0.264407876706212,0.301281151865515,0.316490032904724,0
1,Brandenburg,2015-07-05,2015-07-12,0.585509336597277,0.468549290964603,0.481368123764512,0.54091823340048,0.639005271285411,0.704973340129217,0.727704697366602,0
2,Brandenburg,2015-07-05,2015-07-19,0.816124511707422,0.644967329268272,0.671375808168314,0.751876076207129,0.8818176818162,0.961894983633108,0.996368221076103,0
3,Brandenburg,2015-07-05,2015-07-26,0.990081012779761,0.79391662963924,0.828007604666878,0.920679301712637,1.0646141527797,1.17848398272158,1.21417804385325,0
4,Brandenburg,2015-07-05,2015-08-02,0.486884150637477,0.384398491340332,0.39517516941674,0.446446757133463,0.528564231700188,0.589286208197091,0.605846779671842,0
5,Brandenburg,2015-07-05,2015-08-09,0.184793162312505,0.13293094110523,0.140605155148883,0.167066273863025,0.204510077377221,0.234137847955349,0.241301668197144,0
6,Brandenburg,2015-07-05,2015-08-16,0.2139902425304,0.162500841817268,0.17055460785158,0.196036645342609,0.237347051791143,0.275021380067448,0.282795816277008,0
1,Bremen,2015-07-05,2015-07-12,0.238590757248408,0.179534841373217,0.1867678733523,0.21508266452915,0.261914004616403,0.295432356306773,0.308870485667101,0
2,Bremen,2015-07-05,2015-07-19,0.276147669596995,0.207907336906702,0.216504832529917,0.253062521200686,0.305662389391876,0.346108822093582,0.356495059127664,0
3,Bremen,2015-07-05,2015-07-26,0.367704415602834,0.282958435970786,0.296241959833867,0.334923769273777,0.397421987450297,0.446457396991399,0.462002802407197,0
4,Bremen,2015-07-05,2015-08-02,0.244724745597456,0.183224707840719,0.192566142988788,0.221386403645997,0.267592571595333,0.307026535801153,0.316543214253949,0
5,Bremen,2015-07-05,2015-08-09,0.126182051684266,0.0855045915998276,0.0907009290612957,0.110608145280809,0.141010104276384,0.162971250547538,0.170152061378943,0
6,Bremen,2015-07-05,2015-08-16,0.203506684722199,0.150095079452836,0.159173960406535,0.185107247475288,0.223996650219776,0.256099340373802,0.269626109936852,0
1,Hamburg,2015-07-05,2015-07-12,0.691610123125021,0.548537225127931,0.571501640876864,0.6429161744979,0.745145380590823,0.836244923210836,0.864421780514008,0
2,Hamburg,2015-07-05,2015-07-19,0.746671725468884,0.588788995199605,0.613854961883446,0.686954373786511,0.802964251901076,0.890778011341525,0.92180394340675,0
3,Hamburg,2015-07-05,2015-07-26,1.05834562872777,0.859294618595167,0.883923543299573,0.982035811958115,1.138314866966,1.27035263994116,1.30660707223218,0
4,Hamburg,2015-07-05,2015-08-02,0.548074201254904,0.428340386109214,0.447996414713565,0.506231239906668,0.59403144535511,0.667940149701016,0.68571689798069,0
5,Hamburg,2015-07-05,2015-08-09,0.203138850140892,0.148616356134593,0.156205287909501,0.183900284118918,0.223216145943124,0.256462820179528,0.267313284423021,0
6,Hamburg,2015-07-05,2015-08-16,0.228004241992055,0.169757153835297,0.179713753529035,0.205673163006578,0.251399628851334,0.286248539332966,0.300089094122756,0
1,Hesse,2015-07-05,2015-07-12,0.276236078173986,0.209817957999319,0.218780073751681,0.253836458996805,0.304474449355926,0.344933553019094,0.354884552820501,0
2,Hesse,2015-07-05,2015-07-19,0.369215552398016,0.283365788922535,0.297154531718123,0.338300580070427,0.398884099099442,0.451756485120695,0.466534516228699,0
3,Hesse,2015-07-05,2015-07-26,0.436546934220223,0.338936213731853,0.354800860728722,0.398676758348967,0.471744084233827,0.53042269559612,0.546764914833774,0
4,Hesse,2015-07-05,2015-08-02,0.248779168273475,0.189096556156735,0.196881360902565,0.225707591430159,0.274011892672817,0.313239304743885,0.326480989199939,0
5,Hesse,2015-07-05,2015-08-09,0.128411368948231,0.0896938331171358,0.0953764125379147,0.114596469561405,0.145030122552451,0.168851287090762,0.178995909291561,0
6,Hesse,2015-07-05,2015-08-16,0.20275860039686,0.148036982152536,0.156898341911076,0.184738283013036,0.223598894087956,0.26069573441939,0.269608661747898,0
1,Mecklenburg-Vorpommern,2015-07-05,2015-07-12,0.766010605705006,0.611971064822979,0.636781820654588,0.70724193125813,0.828302596099851,0.911888198944939,0.9377214790916,0
2,Mecklenburg-Vorpommern,2015-07-05,2015-07-19,1.01661578465818,0.810344255094778,0.847960517580468,0.94103054960276,1.09133105644856,1.2206624600319,1.26418284949231,0
3,Mecklenburg-Vorpommern,2015-07-05,2015-07-26,1.35173918698062,1.09353345437394,1.13801198900585,1.24931676836697,1.45082278904527,1.59831630610861,1.65999549426948,0
4,Mecklenburg-Vorpommern,2015-07-05,2015-08-02,0.652820518462946,0.520160777373381,0.541442153636217,0.602976165099149,0.699103721410771,0.779977513793006,0.819684060291875,0
5,Mecklenburg-Vorpommern,2015-07-05,2015-08-09,0.210897772474807,0.154336294760625,0.160396927277291,0.188980329154942,0.232435202397486,0.266235297154393,0.281076376694133,0
6,Mecklenburg-Vorpommern,2015-07-05,2015-08-16,0.242382644281631,0.181559850064634,0.191913084423083,0.219616936481077,0.265524675562197,0.305488216875297,0.316140028624216,0
1,Lower Saxony,2015-07-05,2015-07-12,0.391185322534535,0.301364129912695,0.317959419466909,0.357586861466978,0.427254022925114,0.475208942631769,0.494681178586604,0
2,Lower Saxony,2015-07-05,2015-07-19,0.457394083155417,0.352035698316291,0.367154793023466,0.423875415272831,0.493692739379741,0.554154574010933,0.573226608799778,0
3,Lower Saxony,2015-07-05,2015-07-26,0.631855775834507,0.504627975762686,0.522146702685772,0.581295871400168,0.678969845388804,0.75658645981695,0.778818198315667,0
4,Lower Saxony,2015-07-05,2015-08-02,0.365035228219139,0.27981735189681,0.295675829471598,0.337749421820334,0.400769268735898,0.446107216413,0.465982703372724,0
5,Lower Saxony,2015-07-05,2015-08-09,0.158685659035195,0.114421210741161,0.122004151795378,0.144195309901997,0.175909390274341,0.208024047216059,0.215198194547463,0
6,Lower Saxony,2015-07-05,2015-08-16,0.204431877197781,0.148315053341969,0.156005841598992,0.18562995099226,0.225093414747947,0.259727162741682,0.271672162510259,0
1,North Rhine-Westphalia,2015-07-05,2015-07-12,0.264193641754322,0.196604478625748,0.206822798083712,0.239556683579226,0.289732452925624,0.326948085592822,0.340327436246837,0
